time,curr_ref,curr_sensor,ctr_sig
154431,1200,1199,2584
154951,1200,1199,2584
155492,1200,1198,5000
156010,1200,1198,5000
156563,1200,1198,5000
157088,1200,1198,5000
157604,1200,1198,5000
158124,1200,1197,5000
158643,1200,1197,5000
159171,1200,1197,5000
159691,1200,1197,5000
160225,1200,1197,5000
160752,1200,1197,5000
161276,1200,1196,5000
161806,1200,1196,5000
162330,1200,1196,5000
162890,1200,1196,5000
163422,1200,1196,5000
163950,1200,1195,5000
164506,1200,1195,5000
165050,1200,1195,5000
165574,1200,1195,5000
166114,1200,1195,5000
166625,1200,1195,5000
167173,1200,1195,5000
167717,1200,1195,5000
168259,1200,1194,5000
168817,1200,1194,5000
169387,1200,1194,5000
169942,1200,1194,5000
170487,1200,1194,5000
171071,1200,1193,5000
171637,1200,1193,5000
172168,1200,1193,5000
172723,1200,1193,5000
173270,1200,1193,5000
173817,1200,1193,5000
174351,1200,1192,5000
174891,1200,1192,5000
175470,1200,1192,5000
176017,1200,1192,5000
176565,1200,1192,5000
177118,1200,1191,5000
177653,1200,1191,5000
178214,1200,1191,5000
178770,1200,1191,5000
179326,1200,1191,5000
179880,1200,1191,5000
180448,1200,1191,5000
181013,1200,1191,5000
181628,1200,1190,5000
182200,1200,1190,5000
182768,1200,1190,5000
183328,1200,1190,5000
183897,1200,1190,5000
184459,1200,1189,5000
185040,1200,1189,5000
185591,1200,1189,5000
186165,1200,1189,5000
186734,1200,1189,5000
187293,1200,1189,5000
187916,1200,1188,5000
188492,1200,1188,5000
189048,1200,1188,5000
189642,1200,1188,5000
190206,1200,1188,5000
190800,1200,1187,5000
191370,1200,1187,5000
191930,1200,1187,5000
192509,1200,1187,5000
193087,1200,1187,5000
193708,1200,1187,5000
194290,1200,1187,5000
194900,1200,1187,5000
195490,1200,1186,5000
196094,1200,1186,5000
196704,1200,1186,5000
197288,1200,1186,5000
197899,1200,1186,5000
198491,1200,1185,5000
199086,1200,1185,5000
199669,1200,1185,5000
200320,1200,1185,5000
200905,1200,1185,5000
201507,1200,1185,5000
202093,1200,1184,5000
202677,1200,1184,5000
203260,1200,1184,5000
203869,1200,1184,5000
204475,1200,1184,5000
205063,1200,1183,5000
205642,1200,1183,5000
206264,1200,1183,5000
206893,1200,1183,5000
207490,1200,1183,5000
208071,1200,1183,5000
208705,1200,1183,5000
209307,1200,1183,5000
209904,1200,1182,5000
210520,1200,1182,5000
211142,1200,1182,5000
211765,1200,1182,5000
212381,1200,1182,5000
212997,1200,1181,5000
213616,1200,1181,5000
214237,1200,1181,5000
214849,1200,1181,5000
215475,1200,1181,5000
216101,1200,1181,5000
216498,1200,1180,5000
217098,1200,1180,5000
217760,1200,1180,5000
218362,1200,1180,5000
219011,1200,1180,5000
219649,1200,1179,5000
220310,1200,1179,5000
220965,1200,1179,5000
221623,1200,1179,5000
222247,1200,1179,5000
222918,1200,1179,5000
223542,1200,1179,5000
224161,1200,1179,5000
224785,1200,1178,5000
225011,1200,1178,5000
